state,district,week_start,week_end,crop_condition,hi_crop_condition,advisory,hi_advisory
Punjab,Firozpur,6/16/2025,6/22/2025,"Crop-specific condition is not specifically mentioned in the latest advisory for Firozpur. Farmers are advised to continue regular field monitoring, manage weeds, and follow local agricultural guidelines as per the crop stage and prevailing weather conditions.","फिरोज़पुर के लिए नवीनतम सलाह में फसल की स्थिति का विशेष रूप से उल्लेख नहीं किया गया है। किसान नियमित रूप से खेत की निगरानी करें, खरपतवार प्रबंधन करें और फसल की अवस्था एवं मौजूदा मौसम के अनुसार स्थानीय कृषि विभाग की सिफारिशों का पालन करें।","Crop-specific conditions are not mentioned in the latest advisory for Firozpur. Farmers should continue with standard crop care practices such as timely irrigation, keeping fields weed-free, and monitoring regularly for early signs of pests or diseases. Follow agronomic recommendations suited to the crop's current growth stage and the prevailing weather conditions.","फिरोज़पुर के लिए ताज़ा सलाह में किसी विशेष फसल की स्थिति का उल्लेख नहीं किया गया है। किसान नियमित फसल देखभाल कार्य जारी रखें—समय पर सिंचाई करें, खेत को खरपतवार-मुक्त रखें, और कीट या रोगों के प्रारंभिक लक्षणों की नियमित निगरानी करें। फसल की वर्तमान वृद्धि अवस्था और मौसमी स्थिति के अनुसार कृषि तकनीकों का पालन करें।"
Punjab,Faridkot,6/16/2025,6/22/2025,The cotton crop in Faridkot is around 40–45 days old and at the 8–10 leaf stage. Irrigation and weeding operations have been completed. Thrips infestation has been observed above the Economic Threshold Level (ETL) in isolated areas. Farmers are advised to monitor fields closely and take targeted pest control measures where required.,फरीदकोट में कपास की फसल लगभग 40–45 दिन पुरानी है और 8–10 पत्तियों के चरण में है। सिंचाई और निराई का कार्य पूरा हो चुका है। कुछ स्थानों पर थ्रिप्स का प्रकोप आर्थिक क्षति स्तर (ETL) से अधिक देखा गया है। किसान अपने खेतों की नियमित निगरानी करें और जहां आवश्यक हो वहां कीट नियंत्रण के उपाय करें।,"Give the first irrigation 4 to 6 weeks after sowing. Apply 90 kg urea per acre in 2 to 3 equal splits after irrigation; avoid broadcasting nitrogen before watering. For Pink Bollworm (PBW), use sticky or delta traps (1 per hectare) with gossyplure and change lures every 15 days. Remove weeds like Itsit and Tandla from the field. Light irrigation helps manage thrips. For root rot, drench with Carbendazim (2g/litre) or Trichoderma spp. (10g/litre). Keep surrounding areas weed-free, especially Kanghi buti and Peeli buti.",बुवाई के 4 से 6 हफ्ते बाद पहली सिंचाई करें। 90 किलोग्राम यूरिया प्रति एकड़ सिंचाई के बाद 2 से 3 बराबर हिस्सों में दें; सिंचाई से पहले नाइट्रोजन का छिड़काव न करें। गुलाबी सुंडी (PBW) के लिए गॉसिप्ल्योर युक्त स्टिकी या डेल्टा ट्रैप (1 प्रति हेक्टेयर) लगाएं और ल्योर हर 15 दिन में बदलें। खेत से इटसिट और टंडला जैसे खरपतवार हटाएं। थ्रिप्स नियंत्रण के लिए हल्की सिंचाई करें। जड़ सड़न की स्थिति में कार्बेन्डाजिम (2 ग्राम/लीटर) या ट्राइकोडर्मा (10 ग्राम/लीटर) से सिंचाई करें। खेत के चारों ओर कंघी बूटी और पीली बूटी जैसे खरपतवार न होने दें।
Punjab,Muktsar,6/16/2025,6/22/2025,"Crop-specific condition is not specifically mentioned in the latest advisory for Muktsar. Farmers are advised to continue monitoring crop health, carry out regular weeding, and follow standard agronomic practices suitable for the current crop stage and weather conditions.","मुक्तसर के लिए नवीनतम सलाह में फसल की स्थिति का विशेष रूप से उल्लेख नहीं किया गया है। किसान फसल की स्थिति की निगरानी जारी रखें, नियमित रूप से निराई करें, और मौजूदा फसल चरण व मौसम के अनुसार सामान्य कृषि विधियों का पालन करें।","Crop-specific conditions are not mentioned in the latest advisory for Muktsar. Farmers are advised to continue with regular crop care—ensure timely irrigation, maintain weed-free fields, and monitor for early signs of pests or diseases. Follow agronomic practices suitable to the current crop stage and local weather conditions.","मुक्तसर के लिए ताज़ा सलाह में किसी विशेष फसल की स्थिति का उल्लेख नहीं किया गया है। किसानों को नियमित फसल देखभाल कार्य जारी रखने की सलाह दी जाती है—समय पर सिंचाई करें, खेत को खरपतवार-मुक्त रखें, और कीट या रोगों के प्रारंभिक लक्षणों की निगरानी करें। फसल की वर्तमान अवस्था और स्थानीय मौसम के अनुसार कृषि तकनीकों का पालन करें।"
Punjab,Bhatinda,6/16/2025,6/22/2025,"The cotton crop in Bhatinda is currently 0–40 days old and in the vegetative stage. Thinning, weeding, irrigation, and nitrogen application are underway. Sucking pests have been observed in the fields. Farmers are advised to monitor pest populations regularly and apply appropriate control measures if infestation crosses the threshold level.","भटिंडा में कपास की फसल इस समय 0–40 दिन पुरानी है और वनस्पतिक चरण में है। छंटाई, निराई, सिंचाई और नाइट्रोजन का प्रयोग जारी है। खेतों में चूसक कीटों की उपस्थिति देखी गई है। किसान कीटों की संख्या की नियमित निगरानी करें और यदि प्रकोप सीमा से अधिक हो तो उचित नियंत्रण उपाय अपनाएं।","Farmers in Bathinda are advised to remove weeds from the field. Provide irrigation and apply the first nitrogen split one month after sowing. To control weeds, spray Pyrithiobac + Quizalofop at 500 ml per acre using 150 litres of water after irrigation. If whitefly adults are observed at a rate of 4 to 6 per leaf, spray neem-based Nimbecidine at 1 litre per acre. Use pheromone traps to monitor Pink Bollworm (PBW) and change lures every 15 days. Remove and destroy rosette flowers. Regularly monitor the crop for jassid and thrips infestation.","भटिंडा में किसानों को खेत से खरपतवार हटाने की सलाह दी जाती है। बुवाई के एक महीने बाद सिंचाई करें और पहली नाइट्रोजन खुराक दें। खरपतवार नियंत्रण के लिए सिंचाई के बाद 150 लीटर पानी में 500 मिली प्रति एकड़ की दर से पायरीथियॉबैक + क्विज़ालोफॉप का छिड़काव करें। यदि सफेद मक्खी की संख्या प्रति पत्ते 4 से 6 वयस्क हो, तो नीम आधारित निंबेसिडीन @1 लीटर प्रति एकड़ छिड़कें। गुलाबी सुंडी (PBW) की निगरानी के लिए फेरोमोन ट्रैप लगाएं और हर 15 दिन में ल्योर बदलें। रोज़ेट फूलों को हटाकर नष्ट करें। जेसिड और थ्रिप्स की निगरानी करते रहें।"
Punjab,Sangrur,6/16/2025,6/22/2025,"Crop-specific condition is not specifically mentioned in the latest advisory for Sangrur. Farmers are advised to continue routine crop care practices such as weeding, irrigation, and pest monitoring. Follow agronomic recommendations as per the crop stage and weather conditions.","संगरूर के लिए नवीनतम सलाह में फसल की स्थिति का विशेष रूप से उल्लेख नहीं किया गया है। किसान निराई, सिंचाई और कीटों की निगरानी जैसे नियमित फसल प्रबंधन कार्य करते रहें। फसल की अवस्था और मौसम के अनुसार कृषि वैज्ञानिकों की सलाह का पालन करें।","Crop-specific conditions are not mentioned in the latest advisory for Sangrur. Farmers should continue routine crop management practices—ensure timely irrigation, keep the fields weed-free, and regularly monitor for any early signs of pests or diseases. Follow agronomic practices suited to the crop’s current stage and prevailing weather conditions.","संगरूर के लिए ताज़ा सलाह में किसी विशेष फसल की स्थिति का उल्लेख नहीं किया गया है। किसान नियमित फसल प्रबंधन कार्य जारी रखें—समय पर सिंचाई करें, खेत को खरपतवार-मुक्त रखें, और कीट या रोगों के प्रारंभिक लक्षणों की नियमित निगरानी करें। फसल की वर्तमान अवस्था और मौजूदा मौसम के अनुसार कृषि तकनीकों का पालन करें।"
Punjab,Ludhiana,6/16/2025,6/22/2025,"Crop-specific condition is not specifically mentioned in the latest advisory for Ludhiana. Farmers are advised to continue regular crop monitoring, maintain field hygiene, manage weeds, and follow recommended practices based on the crop stage and local weather conditions.","लुधियाना के लिए नवीनतम सलाह में फसल की स्थिति का विशेष रूप से उल्लेख नहीं किया गया है। किसान फसल की नियमित निगरानी करें, खेत की स्वच्छता बनाए रखें, खरपतवारों का प्रबंधन करें और फसल की अवस्था व स्थानीय मौसम के अनुसार अनुशंसित कृषि उपायों का पालन करें।","Crop-specific conditions are not mentioned in the latest advisory for Ludhiana. Farmers are advised to continue standard crop care practices—carry out timely irrigation, maintain weed-free fields, and monitor crops regularly for early signs of pests or diseases. Follow agronomic recommendations suitable for the current crop stage and local weather conditions.","लुधियाना के लिए ताज़ा सलाह में किसी विशेष फसल की स्थिति का उल्लेख नहीं किया गया है। किसानों को नियमित फसल देखभाल कार्य जारी रखने की सलाह दी जाती है—समय पर सिंचाई करें, खेत को खरपतवार-मुक्त रखें, और फसलों की कीट या रोगों के प्रारंभिक लक्षणों के लिए नियमित निगरानी करें। फसल की वर्तमान अवस्था और स्थानीय मौसम के अनुसार कृषि सिफारिशों का पालन करें।"
Haryana,Hisar,6/16/2025,6/22/2025,"The cotton crop in Hisar is 42–49 days old, currently at the early vegetative to flowering stage. Weeding has been completed. Sucking pests have been observed but remain below the Economic Threshold Level (ETL). However, signs of pink bollworm infestation and root rot are emerging. Farmers are advised to monitor fields closely, install pheromone traps for pink bollworm, and apply appropriate fungicides or biological treatments for root rot where necessary.","हिसार में कपास की फसल 42–49 दिन पुरानी है और प्रारंभिक वनस्पतिक से फूल आने के चरण में है। निराई का कार्य पूरा हो चुका है। चूसक कीट देखे गए हैं, लेकिन वे अभी आर्थिक क्षति स्तर (ETL) से नीचे हैं। हालांकि, गुलाबी सूंडी (पिंक बॉलवर्म) और जड़ सड़न के लक्षण दिखाई दे रहे हैं। किसान खेतों की नियमित निगरानी करें, गुलाबी सूंडी के लिए फेरोमोन ट्रैप लगाएं, और जड़ सड़न के लिए उपयुक्त फफूंदनाशी या जैविक उपचार अपनाएं।","In Hisar, farmers are advised to drain excess rainwater from the fields. For crops older than 7 weeks, apply 1 bag of urea per acre after rainfall or irrigation. Perform hoeing operations once the rain subsides. Insecticide application is not required for sucking pests at this stage. Install 2 pheromone traps per acre to monitor Pink Bollworm (PBW) and check moth catches every 3 days. Destroy old cotton stalks and infected bolls. Examine 100 flowers randomly for PBW infestation. For root rot-affected areas, drench the soil with Carbendazim at 2 grams per litre or Trichoderma spp. at 10 grams per litre of water.",हिसार में किसानों को खेतों से अतिरिक्त वर्षा जल निकालने की सलाह दी जाती है। 7 सप्ताह से अधिक पुरानी फसल में वर्षा या सिंचाई के बाद 1 बैग यूरिया प्रति एकड़ डालें। वर्षा के बाद गुड़ाई करें। इस अवस्था पर चूसक कीटों के लिए कीटनाशक की आवश्यकता नहीं है। गुलाबी सुंडी (PBW) की निगरानी के लिए प्रति एकड़ 2 फेरोमोन ट्रैप लगाएं और हर 3 दिन में पतंगों की संख्या देखें। पुराने कपास के डंठल और संक्रमित बॉल्स को नष्ट करें। गुलाबी सुंडी की जांच के लिए यादृच्छिक रूप से 100 फूलों की जाँच करें। जड़ सड़न प्रभावित क्षेत्रों में कार्बेन्डाजिम @2 ग्राम/लीटर या ट्राइकोडर्मा @10 ग्राम/लीटर से सिंचाई करें।
Haryana,Sirsa,6/16/2025,6/22/2025,"The cotton crop in Sirsa is around 55 days old and currently in the vegetative stage. Irrigation, weeding, and intercultural operations are ongoing. Jassid infestation and stress-induced flowering have been observed. Farmers are advised to monitor the crop closely, ensure proper nutrient and moisture management, and take timely pest control measures if jassid levels cross the Economic Threshold Level (ETL).","सिरसा में कपास की फसल लगभग 55 दिन पुरानी है और वनस्पतिक चरण में है। सिंचाई, निराई और अंतराशस्य क्रियाएं जारी हैं। जेसिड का प्रकोप और तनाव के कारण फूल आने के लक्षण देखे गए हैं। किसान फसल की नियमित निगरानी करें, उचित पोषक तत्व और नमी प्रबंधन सुनिश्चित करें, और यदि जेसिड की संख्या आर्थिक क्षति स्तर (ETL) से अधिक हो तो तत्काल नियंत्रण उपाय अपनाएं।","In Sirsa, for crops aged 40–50 days, farmers are advised to irrigate and apply urea after rainfall. Carry out hoeing either manually or using intercultural tools. For weed control, spray Pyrithiobac + Quizalofop at 1250 ml per hectare or use directed sprays of Paraquat or Glufosinate in 200–250 litres of water per acre. If sucking pests or bollworms exceed ETL before 60 days after sowing (DAS), spray neem oil at 1 litre per acre in 150 litres of water. Install pheromone traps to monitor Pink Bollworm (PBW) and regularly check for rosette flowers. For root rot, drench affected areas with Carbendazim @2g/L or Trichoderma spp. @10g/L.","सिरसा में 40–50 दिन पुरानी फसल के लिए वर्षा के बाद सिंचाई करें और यूरिया डालें। निराई हाथ से या यंत्रों की सहायता से करें। खरपतवार नियंत्रण के लिए 1250 मिली/हेक्टेयर की दर से पायरीथियॉबैक + क्विजालोफॉप का छिड़काव करें या पैराक्वाट/ग्लुफोसिनेट का डायरेक्टेड स्प्रे 200–250 लीटर पानी प्रति एकड़ में करें। यदि चूसक कीट या बॉलवर्म का प्रकोप 60 दिन से पहले ETL से अधिक हो, तो नीम का तेल 1 लीटर प्रति एकड़ 150 लीटर पानी में मिलाकर छिड़कें। गुलाबी सुंडी (PBW) की निगरानी के लिए फेरोमोन ट्रैप लगाएं और रोज़ेट फूलों की नियमित जांच करें। जड़ सड़न की स्थिति में कार्बेन्डाजिम @2 ग्राम/लीटर या ट्राइकोडर्मा @10 ग्राम/लीटर से सिंचाई करें।"
Haryana,Jind,6/16/2025,6/22/2025,"Crop-specific condition is not specifically mentioned in the latest advisory for Jind. Farmers are advised to continue routine crop care, including regular irrigation, weed management, and pest monitoring, and follow agronomic practices suitable for the current crop stage and local conditions.","जींद के लिए नवीनतम सलाह में फसल की स्थिति का विशेष रूप से उल्लेख नहीं किया गया है। किसान नियमित सिंचाई, खरपतवार नियंत्रण और कीट निगरानी जैसे सामान्य फसल प्रबंधन कार्य करते रहें, और फसल की अवस्था व स्थानीय परिस्थितियों के अनुसार कृषि सिफारिशों का पालन करें।","Crop-specific conditions are not mentioned in the latest advisory for Jind. Farmers are advised to continue regular crop care—ensure timely irrigation, keep fields free from weeds, and monitor for early signs of pests or diseases. Adopt agronomic practices suitable for the crop’s current stage and local weather conditions.","जींद के लिए ताज़ा सलाह में किसी विशेष फसल की स्थिति का उल्लेख नहीं किया गया है। किसानों को नियमित फसल देखभाल कार्य करते रहने की सलाह दी जाती है—समय पर सिंचाई करें, खेत को खरपतवार-मुक्त रखें, और कीट या रोगों के प्रारंभिक लक्षणों की निगरानी करें। फसल की वर्तमान अवस्था और स्थानीय मौसम के अनुसार कृषि तकनीकों का पालन करें।"
Haryana,Rohtak,6/16/2025,6/22/2025,"Crop-specific conditions are not mentioned in the latest advisory for Rohtak. Farmers should continue with standard crop care practices—ensuring regular irrigation, keeping the fields weed-free, and maintaining vigilant pest and disease monitoring. Adhere to recommended agronomic steps based on the crop’s growth stage and regional weather updates.","रोहतक के लिए ताज़ा सलाह में फसल की स्थिति का कोई विशेष उल्लेख नहीं है। किसान नियमित सिंचाई, खेत को साफ-सुथरा रखना और कीट व रोगों पर सतर्क निगरानी बनाए रखें। फसल की अवस्था और क्षेत्रीय मौसम के अनुसार अनुशंसित कृषि उपायों का पालन करें।","Crop-specific conditions are not mentioned in the latest advisory for Rohtak. Farmers should continue standard crop care—ensure timely irrigation, maintain weed-free fields, and regularly monitor for any signs of pests or diseases. Follow agronomic practices suitable for the current crop stage and prevailing weather conditions.","रोहतक के लिए ताज़ा सलाह में किसी विशेष फसल की स्थिति का उल्लेख नहीं किया गया है। किसानों को नियमित फसल देखभाल कार्य जारी रखने की सलाह दी जाती है—समय पर सिंचाई करें, खेत को खरपतवार-मुक्त रखें, और कीट या रोगों के किसी भी लक्षण की नियमित निगरानी करें। फसल की वर्तमान अवस्था और मौजूदा मौसम के अनुसार कृषि तकनीकों का पालन करें।"
