intent_name,GetCropVariety,advice,region,additional_notes
GetCropVariety,Rice,"IR64 (120 days, high yield), BPT 5204 (blast-resistant), MTU1010 (drought-tolerant) ",North/South India,IR64 requires a consistent water supply throughout the growing season. Ensure fields are properly leveled and irrigated regularly to avoid water stress.
GetCropVariety,Wheat,"HD 2967 (high protein), PBW 723 (rust-resistant), Karan Vandana (early)","Punjab, Haryana, MP","For best results, wheat should be sown in well-drained soils with good tilth. Avoid waterlogging and ensure timely irrigation at critical stages."
GetCropVariety,Maize,"HQPM 1 (high oil),  Pusa Composite 3 (disease-resistant), DHM 117 (hybrid)","Karnataka, AP",Maintain 60 cm row spacing while sowing maize for optimal plant growth and aeration. Use hybrids for better yields and disease resistance.
GetCropVariety,Cotton,"RCH 659 (Bt, high fiber), Bunny BG-II (bollworm-resistant), Desi cotton (organic)","Maharashtra, Gujarat",Ensure proper spacing for high fiber Bt varieties. Use Desi cotton for organic cultivation. Suitable for black soils in Maharashtra and Gujarat.
GetCropVariety,Soybean,"JS 9560 (high yield), MACS 1407 (lodging-resistant), NRC 138 (early)","MP, Rajasthan",Practice crop rotation with cereals to reduce pest buildup. Early maturing varieties are suitable for rainfed regions of Madhya Pradesh and Rajasthan.
GetCropVariety,Turmeric,"Krishna (high curcumin), Roma (disease-tolerant), Suvarna (early)",South India ,Use shade nets to protect turmeric from excessive sunlight. Maintain high humidity and ensure raised beds for proper drainage.
GetCropVariety,Barley,"RD 2660 (high malt), K 551 (drought-tolerant), NDB 1173 (early)","Rajasthan, UP",Barley varieties like RD 2660 are suitable for saline and drought-prone soils. Prepare the land with minimal tillage for better results.
GetCropVariety,Chickpea,"JG 11 (high yield), Pusa 372 (wilt-resistant), KAK 2 (bold seeds)","MP, Maharashtra",Sow chickpea in October–November for optimal yield. Use wilt-resistant varieties in areas with soil-borne disease pressure.
GetCropVariety,Sugarcane,"Co 0238 (high sugar), Co 86032 (ratoon), Co 14036 (drought-tolerant)","UP, Maharashtra",Sugarcane requires 18–24 months for a full crop cycle. Ensure proper ratooning management and irrigation during dry months.
GetCropVariety,Potato,"Kufri Jyoti (late blight-resistant), Kufri Pukhraj (high yield), Kufri Chipsona (processing)","Punjab, WB",Store harvested potatoes at 4°C to maintain freshness and prevent sprouting. Use disease-resistant varieties for late blight-prone areas.
GetCropVariety,Groundnut,"TG 37A (high oil), GG 20 (early), JL 24 (drought-tolerant)","Gujarat, AP",Avoid growing groundnut repeatedly on the same land. Practice crop rotation and ensure gypsum application at flowering for pod development.
GetCropVariety,Millet,"HHB 67 (hybrid bajra), ICTP 8203 (fodder), PR 202 (high iron)","Rajasthan, Karnataka",Ideal for arid and semi-arid regions. These millet varieties are drought-resistant and suitable for fodder as well as grain production.
GetCropVariety,Sorghum,"CSH 16 (fodder), SPV 1411 (dual-purpose), M 35-1 (grain)","Maharashtra, TN",Sorghum varieties tolerate heat and are ideal for kharif season. Use dual-purpose types for both fodder and grain.
GetCropVariety,Cabbage,"Golden Acre (early), Pusa Mukta (disease-resistant), Sri Ganesh Gol (round heads)","Hills: Himachal, Nilgiris",Grow in cool climates like Himachal or Nilgiris. Ensure proper spacing and use organic mulch to maintain soil temperature.
GetCropVariety,Tomato,"Pusa Ruby (general), Arka Rakshak (disease-resistant), NS 501 (hybrid)",All India,Stake tomato plants for support and prevent fruit rot. Use disease-resistant hybrids for high yield in open fields or polyhouses.
GetCropVariety,Brinjal,"Pusa Purple Long, Arka Keshav, PBH 3 (hybrid)","UP, West Bengal",Brinjal requires regular harvesting and is susceptible to fruit borer. Monitor weekly and remove damaged fruits to improve market quality.
GetCropVariety,Sunflower,"KBSH 53 (hybrid), DRSH 1 (high oil), EC 69874 (early)","Karnataka, Maharashtra",Rotate with legumes to maintain soil fertility. Provide timely irrigation at flowering and seed filling stages for high oil content.
GetCropVariety,Carrot,"Pusa Kesar, Nantes Half Long, Pusa Meghali (red core)",Hilly regions,"Carrots grow best in light, loose soil. Avoid water stagnation. Use raised beds in hilly areas for uniform root development."
